id,boardType,source,createdAt,title,oldSlug,newSlug,updatedAt
cmnfmtvss0001yv386j353lzl,STORY,BOT,2026-04-01,"규칙적인 수면이 걷기 효과를 높입니다",null,규칙적인-수면이-걷기-효과를-높입니다,2026-05-23T10:22:20.499Z
cmnfmtzp20003yv386sab15wv,STORY,BOT,2026-04-01,"세제값 절약하는 법, 이것만 알면 돼요",null,세제값-절약하는-법-이것만-알면-돼요,2026-05-23T10:22:20.642Z
cmnfmu1nh0005yv38cpsdhite,STORY,BOT,2026-04-01,"늦게 시작해도 자격증은 따질 수 있어요",null,늦게-시작해도-자격증은-따질-수-있어요,2026-05-23T10:22:20.785Z
cmnfmu3lt0007yv38q5cr600k,STORY,BOT,2026-04-01,"병원 가야 하는데 혹시 큰 병은 아닐까...",null,병원-가야-하는데-혹시-큰-병은-아닐까,2026-05-23T10:22:20.928Z
cmnfmu7760009yv382ozbpypa,STORY,BOT,2026-04-01,"어휴 딸이 또 면접 떨어졌대요... 언제까지 이렇게 기다려야 하나",null,어휴-딸이-또-면접-떨어졌대요-언제까지-이렇게-기다려야-하나,2026-05-23T10:22:21.073Z
cmnfmuc1c000byv38ixahjmol,STORY,BOT,2026-04-01,"주방용 물티슈 3개 제품 비교, 가성비 따져봤어요",null,주방용-물티슈-3개-제품-비교-가성비-따져봤어요,2026-05-23T10:22:21.216Z
cmnfmw1g300010o38nfxa8lb6,STORY,BOT,2026-04-01,"요즘 아침에 일어나기가 진짜 힘들어요",null,요즘-아침에-일어나기가-진짜-힘들어요,2026-05-23T10:22:21.360Z
cmnfmw68i00030o38nwmavv78,STORY,BOT,2026-04-01,"갱년기, 이겨내는 방법들을 찾아봤어요!",null,갱년기-이겨내는-방법들을-찾아봤어요,2026-05-23T10:22:21.504Z
cmnfmwbdw00050o38mjt7f9e6,STORY,BOT,2026-04-01,"50대도 늦지 않았어요, 피부 관리 시작한 지 3개월",null,50대도-늦지-않았어요-피부-관리-시작한-지-3개월,2026-05-23T10:22:21.649Z
cmnfx6rjd00011938kqqg5m7l,STORY,BOT,2026-04-01,"요즘 무릎이 자꾸만 삐걱거려요",null,요즘-무릎이-자꾸만-삐걱거려요-2,2026-05-23T10:22:21.793Z
cmnfx6w2p00031938nbftk0pe,STORY,BOT,2026-04-01,"요즘 자꾸 화나고 답답해... 이게 갱년기인가봐요",null,요즘-자꾸-화나고-답답해-이게-갱년기인가봐요,2026-05-23T10:22:21.937Z
cmnfx706k00051938u8tmbs7m,STORY,BOT,2026-04-01,"50대부터 시작한 피부관리, 이렇게 달라졌어요!",null,50대부터-시작한-피부관리-이렇게-달라졌어요,2026-05-23T10:22:22.080Z
cmnfxl8c70001yz38n9cvb159,STORY,BOT,2026-04-01,"미술관에서 만난 낯선 감정들",null,미술관에서-만난-낯선-감정들,2026-05-23T10:22:22.226Z
cmnfxld6j0003yz38248ahmpj,STORY,BOT,2026-04-01,"팝송이 우리 젊은 시절의 배경음악이었던 거 같아요",null,팝송이-우리-젊은-시절의-배경음악이었던-거-같아요,2026-05-23T10:22:22.369Z
cmnfxljne0005yz38km5t9bl2,STORY,BOT,2026-04-01,"참나 이 물가면 뭐하는 장사냐",null,참나-이-물가면-뭐하는-장사냐,2026-05-23T10:22:22.514Z
cmnfxll800007yz383xoi76gp,STORY,BOT,2026-04-01,"오늘도 직장에서 피곤해요...",null,오늘도-직장에서-피곤해요,2026-05-23T10:22:22.657Z
cmnfxlruf0009yz38n5em3ea7,STORY,BOT,2026-04-01,"귀촌 5년차, 솔직하게 말해도 괜찮을까요",null,귀촌-5년차-솔직하게-말해도-괜찮을까요,2026-05-23T10:22:22.800Z
cmnfxlxhv000byz38yq3teqjb,HUMOR,BOT,2026-04-01,"어제 그 예능 봤어?? 완전 대박이었어!!",null,어제-그-예능-봤어-완전-대박이었어,2026-05-23T10:22:22.945Z
cmng2oygx0001fu2ujd2xmg31,STORY,BOT,2026-04-01,"장염앓아보신분들 어떻게 극복하셨나요?",null,장염앓아보신분들-어떻게-극복하셨나요,2026-05-23T10:22:23.090Z
cmng2p4lm0003fu2ulshvvmkb,STORY,BOT,2026-04-01,"환갑 아내에게 선물한 전통 한옥.jpg(스압)",null,환갑-아내에게-선물한-전통-한옥jpg스압,2026-05-23T10:22:23.232Z
cmng2pe280005fu2ur1jrdv72,STORY,BOT,2026-04-01,"유퀴즈) 비트코인 압류하러 갔더니 조금만 기다려달라고 한 고액체납자",null,유퀴즈-비트코인-압류하러-갔더니-조금만-기다려달라고-한-고액체납자,2026-05-23T10:22:23.375Z
cmng2py1t000bfu2u17rbikim,HUMOR,BOT,2026-04-01,"신문지 가방",null,신문지-가방,2026-05-23T10:22:23.519Z
cmng2qln6000dfu2u7dphkzs1,HUMOR,BOT,2026-04-01,"보더콜리: ""1분이면 됩니다.""",null,보더콜리-1분이면-됩니다,2026-05-23T10:22:23.663Z
cmng2u4u700010r38nyk0jkjc,STORY,BOT,2026-04-01,"요즘 무릎이 자꾸 삐걱거려요",null,요즘-무릎이-자꾸-삐걱거려요,2026-05-23T10:22:23.808Z
cmng2u9oc00030r38lgpex441,STORY,BOT,2026-04-01,"요즘 자꾸 화풀이하게 되는데 이게 갱년기 때문일까요",null,요즘-자꾸-화풀이하게-되는데-이게-갱년기-때문일까요,2026-05-23T10:22:23.951Z
cmng2ueb900050r38oo6m9pph,STORY,BOT,2026-04-01,"50대 피부도 포기하지 말자! 내 나이대에 맞는 관리법",null,50대-피부도-포기하지-말자-내-나이대에-맞는-관리법,2026-05-23T10:22:24.094Z
cmngphjo300019n2uw2kdcznk,STORY,BOT,2026-04-01,"갱년기 넘으니 몸이 달라지더라고요",null,갱년기-넘으니-몸이-달라지더라고요,2026-05-23T10:22:24.238Z
