id,boardType,source,targetField,bannedTerms,bannedIn,currentSeoTitle,proposedSeoTitle,currentSeoDescription,proposedSeoDescription,sourceTitleUnchanged,sourceTitleHasBanned,jobOfficialTitlePreserved,factTokensLost,manualTuned,needsHumanReview,reviewReason,residualAfterRewrite
cmqxrcb8z0000dy5nadk3yfza,JOB,BOT,seoDescription,시니어,seoDescription,[경기 이천시] 아파트 경비원 | 우나어 일자리,(변경 없음),"월 286만원, 안정적인 시니어 일자리 이천 경비원 채용 경기 이천 아파트 경비 구인 50대 경비원 일자리 이천 롯데캐슬 경비 채용공고 ","월 286만원, 안정적인 중장년 일자리 이천 경비원 채용 경기 이천 아파트 경비 구인 50대 경비원 일자리 이천 롯데캐슬 경비 채용공고 ",true,,true,,false,false,,
cmna8zmi00000ib38gsz1y5ip,JOB,BOT,seoDescription,시니어,seoDescription,[경기 수원시] 에서 사회복지사 및 사무.. | 우나어 일자리,(변경 없음),"월 220~270만원, 안정적인 근무 경기 수원시 일자리 뜰안에요양원 시니어 채용 50대 취업 ","월 220~270만원, 안정적인 근무 경기 수원시 일자리 뜰안에요양원 중장년 채용 50대 취업 ",true,,true,,false,false,,
cms33xdi30004j84s2ubou15o,JOB,BOT,seoDescription,어르신,seoDescription,[서울 은평구] 요양보호사 | 우나어 일자리,(변경 없음),"시급 13,000원, 4등급 어르신 돌봄 전문직 증산동 요양보호사 구인 은평구 요양보호사 일자리 50대 요양보호사 취업 4등급 재가요양 채용 ","시급 13,000원, 4등급 이용자 돌봄 전문직 증산동 요양보호사 구인 은평구 요양보호사 일자리 50대 요양보호사 취업 4등급 재가요양 채용 ",true,,true,,false,false,,
cmqc70zr70000k40ixouc2d56,JOB,BOT,seoDescription,노인,seoDescription,[대구 북구] 재가요양보호사 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 대구 북구 요양보호사 구인 재가요양보호사 일자리 50대 여성 요양보호사 취업 노인복지센터 요양보호사 채용 ","시급 1만원, 안정적인 근무 대구 북구 요양보호사 구인 재가요양보호사 일자리 50대 여성 요양보호사 취업 재가복지센터 요양보호사 채용 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인복지센터) 대체 — 검색 노출 영향 확인 필요,
cmqp09t790000k10j6bpl4t6l,JOB,BOT,(없음),어르신,seoTitle|원문title,[대구 서구] 평리동 여어르신 재가 방문  | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 대구 서구 요양보호사 구인 평리동 방문요양 일자리 50대 재가요양보호사 채용 나라주간보호센터 요양보호사 ",(변경 없음),true,어르신,true,,false,false,,
cmpyxhh950008ak2ywkhpx4cv,MAGAZINE,BOT,seoTitle|seoDescription,실버,seoTitle|seoDescription,노후 주거 시나리오 3가지 비교 — 실버타운·세컨하우스·월세 비용 총정리,노후 주거 시나리오 3가지 비교 — 노후 전용 주거단지·세컨하우스·월세 비용 총정리,"실버타운 입주비, 세컨하우스 유지비, 월세 300만원 시대. 50·60대 노후 주거 시나리오 3가지 실제 비용과 조건을 한눈에 비교해드려요.","노후 전용 주거단지 입주비, 세컨하우스 유지비, 월세 300만원 시대. 50·60대 노후 주거 시나리오 3가지 실제 비용과 조건을 한눈에 비교해드려요.",true,,false,,false,true,제도·기관 공식 표기(실버타운) 대체 — 검색 노출 영향 확인 필요,
cmrbvub300000k12cltcfyevl,JOB,BOT,seoDescription,어르신,seoDescription,[서울 양천구] 병원동행 매니저 | 우나어 일자리,(변경 없음),"월 108만원, 어르신 곁에서 함께하는 따뜻한 일 병원동행 매니저 구인 양천구 중장년 일자리 50대 데이케어센터 취업 병원동행서비스 직원 모집 ","월 108만원, 이용자 곁에서 함께하는 따뜻한 일 병원동행 매니저 구인 양천구 중장년 일자리 50대 데이케어센터 취업 병원동행서비스 직원 모집 ",true,,true,,false,false,,
cmn76ez7s0000l521wiycg8w2,JOB,BOT,seoDescription,시니어,seoDescription,[경기] 금촌로터리 요양원 사무원 모 | 우나어 일자리,(변경 없음),"월 216~230만원, 안정적인 근무 경기 일자리 금촌파주요양원 시니어 채용 50대 취업 ","월 216~230만원, 안정적인 근무 경기 일자리 금촌파주요양원 중장년 채용 50대 취업 ",true,,true,,false,false,,
cmpz7hfb30000k3283swps6ei,JOB,BOT,seoDescription,실버,seoDescription,[경기 파주시] 조리읍 간호조무사 채용 | 우나어 일자리,(변경 없음),"월 235만원, 안정적인 근무 파주 간호조무사 구인 조리읍 실버케어 채용 50대 간호조무사 일자리 파주 재활병원 간호조무사 ","월 235만원, 안정적인 근무 파주 간호조무사 구인 조리읍 요양케어 채용 50대 간호조무사 일자리 파주 재활병원 간호조무사 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(실버) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(실버케어) 대체 — 검색 노출 영향 확인 필요,
cmqw60ems0000k05ndof6n02p,JOB,BOT,seoDescription,시니어,seoDescription,[강원 춘천시] 방문의료 사회복지사 | 우나어 일자리,(변경 없음),"월 281만원, 의미 있는 복지 현장에서 일합니다 춘천 사회복지사 구인 방문의료 사회복지사 채용 춘천 50대 복지사 일자리 강원 사회복지 시니어 채용 ","월 281만원, 의미 있는 복지 현장에서 일합니다 춘천 사회복지사 구인 방문의료 사회복지사 채용 춘천 50대 복지사 일자리 강원 사회복지 중장년 채용 ",true,,true,,false,false,,
cmn7ewd9e0000ir38npqae9yf,JOB,BOT,seoDescription,시니어,seoDescription,[경기 부천시] 브로드밴드TS 아웃바운드 상 | 우나어 일자리,(변경 없음),"월 218~300만원, 안정적인 근무 경기 부천시 일자리 (주)티오에스코리아 시니어 채용 50대 취업 ","월 218~300만원, 안정적인 근무 경기 부천시 일자리 (주)티오에스코리아 중장년 채용 50대 취업 ",true,,true,,false,false,,
cmrfy2tf20000dt2cjfnd21sz,JOB,BOT,seoDescription,시니어,seoDescription,[서울 성동구] 아파트 청소 미화원 | 우나어 일자리,(변경 없음),"월 151만원, 내 동네 가까운 아파트 근무 성동구 청소원 구인 서울숲 미화원 채용 아파트 청소 일자리 50대 건물관리 청소 시니어 채용 ","월 151만원, 내 동네 가까운 아파트 근무 성동구 청소원 구인 서울숲 미화원 채용 아파트 청소 일자리 50대 건물관리 청소 중장년 채용 ",true,,true,,false,false,,
cmn9uzmyj0000gg38sdhu2m1t,JOB,BOT,seoDescription,시니어,seoDescription,[경기 양주시] 사회복지사 모집 공고 | 우나어 일자리,(변경 없음),"월 248~261만원, 안정적인 근무 경기 양주시 일자리 양주내일장애인보호작업장 시니어 채용 50대 취업 ","월 248~261만원, 안정적인 근무 경기 양주시 일자리 양주내일장애인보호작업장 중장년 채용 50대 취업 ",true,,true,,false,false,,
cmrrl04ll0004il1m6a8ityeo,JOB,BOT,seoDescription,어르신|실버,seoDescription,[경기 김포시] 요양보호사 | 우나어 일자리,(변경 없음),"월 217~238만원, 어르신 곁에서 보람 있는 일 김포 요양보호사 구인 경기 요양원 취업 50대 요양보호사 일자리 김포시 실버케어 채용 ","월 217~238만원, 돌봄 현장에서 보람 있는 일 김포 요양보호사 구인 경기 요양원 취업 50대 요양보호사 일자리 김포시 요양케어 채용 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(실버) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(실버케어) 대체 — 검색 노출 영향 확인 필요,
cmryqser50004cx4s2gxy8tz2,JOB,BOT,seoDescription,노인,seoDescription,[경기 수원시] <영통3동>새빛 방문요양 요 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 수원 요양보호사 구인 영통동 방문요양 일자리 50대 요양보호사 취업 경기 노인복지 요양보호사 ","시급 1만원, 안정적인 근무 수원 요양보호사 구인 영통동 방문요양 일자리 50대 요양보호사 취업 경기 돌봄복지 요양보호사 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmnzm1u6z0000ij0jhj1dptj2,JOB,BOT,seoDescription,시니어,seoDescription,[서울 종로구] 청소원 채용 | 우나어 일자리,(변경 없음),"월 216만원, 안정적인 근무 평창동 청소원 구인 종로구 아파트 청소 일자리 빌라 청소 시니어 채용 50대 60대 청소원 모집 ","월 216만원, 안정적인 근무 평창동 청소원 구인 종로구 아파트 청소 일자리 빌라 청소 중장년 채용 50대 60대 청소원 모집 ",true,,true,,false,false,,
cmrsucp0d0004jk1mv5s8cs0x,JOB,BOT,seoDescription,어르신,seoDescription,[서울 중랑구] 4등급 오전/ 주6일 - . | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 상봉동 요양보호사 구인 중랑구 방문요양 오전파트 여자어르신 돌봄 주6일 50대 방문간호 요양 일자리 ","시급 1만원, 안정적인 근무 상봉동 요양보호사 구인 중랑구 방문요양 오전파트 여성 이용자 돌봄 주6일 50대 방문간호 요양 일자리 ",true,,true,,false,false,,
cmrq4xvva0004gz1mh3jed3xe,JOB,BOT,seoDescription,노인|시니어,seoTitle|seoDescription|원문title,[충북 청주시] 노인주간보호센터 사회복지사  | 우나어 일자리,(변경 없음),"월 220만원, 안정적인 근무 청주 사회복지사 채용 노인주간보호센터 구인 충북 복지사 일자리 시니어 사회복지 취업 야간없음","월 220만원, 안정적인 근무 청주 사회복지사 채용 주간보호센터 구인 충북 복지사 일자리 중장년 사회복지 취업 야간없음",true,노인,true,,false,true,제도·기관 공식 표기(노인주간보호센터) 대체 — 검색 노출 영향 확인 필요,
cmq5bzvcb0000lc28xm9mvjan,JOB,BOT,seoDescription,시니어|어르신,seoDescription,[경기 화성시] 방문요양 돌봄 도우미 | 우나어 일자리,(변경 없음),"가까운 동네 어르신 돌봄, 시급 1만원 화성시 여성 시니어 일자리 정남면 방문요양 구인 경기도 화성 어르신 채용 보통리 요양센터 여자 직원 모집 ","가까운 동네 방문 돌봄, 시급 1만원 화성시 여성 중장년 일자리 정남면 방문요양 구인 경기도 화성 방문요양 채용 보통리 요양센터 여자 직원 모집 ",true,,true,,false,false,,
cmrboe1kc0000li3gm5g6a95t,JOB,BOT,seoDescription,노인|어르신,seoTitle|seoDescription|원문title,[경기 용인시] 노인주간보호 운전원 | 우나어 일자리,(변경 없음),"월 130만원대 급여, 어르신 모시는 보람 있는 일 용인 운전원 구인 노인복지센터 기사 채용 경기 50대 운전직 취업 주간보호센터 운전기사 모집 야간없음","월 130만원대 급여, 이용자를 모시는 보람 있는 일 용인 운전원 구인 재가복지센터 기사 채용 경기 50대 운전직 취업 주간보호센터 운전기사 모집 야간없음",true,노인,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인복지센터) 대체 — 검색 노출 영향 확인 필요,
cmr95jzsx0000ez3gv7fdtqsp,JOB,BOT,seoDescription,노인,seoTitle|seoDescription|원문title,[강원 동해시] 노인요양원 사회복지사 | 우나어 일자리,(변경 없음),"월 242만원, 전문 자격증 살려 안정적으로 동해시 사회복지사 구인 강원 노인요양원 취업 50대 사회복지사 일자리 동해시 노인요양 복지사 모집 ","월 242만원, 전문 자격증 살려 안정적으로 동해시 사회복지사 구인 강원 요양원 취업 50대 사회복지사 일자리 동해시 요양 복지사 모집 ",true,노인,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인요양원) 대체 — 검색 노출 영향 확인 필요,
cmqqp98sq0000jv0jk9wlmwtd,JOB,BOT,seoDescription,시니어,seoDescription,[서울 동작구] 주거복지 상담사 | 우나어 일자리,(변경 없음),"월 250만원, 주민 삶을 가까이서 돕는 보람 있는 일 동작구 주거상담 일자리 서울 복지센터 50대 채용 주거복지 상담원 구인 동작구 시니어 사무직 채용 ","월 250만원, 주민 삶을 가까이서 돕는 보람 있는 일 동작구 주거상담 일자리 서울 복지센터 50대 채용 주거복지 상담원 구인 동작구 중장년 사무직 채용 ",true,,true,,false,false,,
cmr3iqtex0000la3gppcbdsch,JOB,BOT,seoDescription,시니어,seoDescription,[서울 양천구] 요양원 조리원 | 우나어 일자리,(변경 없음),"시급 1만원, 급식 조리 경험자 환영 요양원 조리원 구인 양천구 급식 조리 일자리 시니어 단체급식 취업 50대 조리원 채용 50대환영","시급 1만원, 급식 조리 경험자 환영 요양원 조리원 구인 양천구 급식 조리 일자리 중장년 단체급식 취업 50대 조리원 채용 50대환영",true,,true,,false,true,회사 고유명에 금지 표현 포함(시니어) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmnzs78ku0000h10jrlbom611,JOB,BOT,seoDescription,시니어,seoDescription,[경기 용인시] 미화 채용-골프장 -오전 오 | 우나어 일자리,(변경 없음),"월 248만원, 안정적인 근무 용인 골프장 미화원 채용 경기도 골프장 청소 알바 50대 미화원 오전오후 교대 용인 시니어 청소 일자리 ","월 248만원, 안정적인 근무 용인 골프장 미화원 채용 경기도 골프장 청소 알바 50대 미화원 오전오후 교대 용인 중장년 청소 일자리 ",true,,true,,false,false,,
cmn5z5cmx0000ea38nw9lyujh,JOB,BOT,seoDescription,시니어,seoDescription,[전남] 영일 성가롤로병원 영양팀 조 | 우나어 일자리,(변경 없음),"월 240만원, 안정적인 근무 전남 일자리 (주)영일 시니어 채용 50대 취업 ","월 240만원, 안정적인 근무 전남 일자리 (주)영일 중장년 채용 50대 취업 ",true,,true,,false,false,,
cmqkoiheh0000fw0jy37zalsz,JOB,BOT,seoDescription,노인,seoDescription,[경기 성남시] 4등급 할머니 케어할 요양보 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 성남 요양보호사 구인 태평동 재가요양 일자리 성남시 노인돌봄 취업 50대 요양보호사 채용 ","시급 1만원, 안정적인 근무 성남 요양보호사 구인 태평동 재가요양 일자리 성남시 방문돌봄 취업 50대 요양보호사 채용 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmofbzhhb0000ha3fvm2ui8dq,JOB,BOT,seoDescription,시니어,seoDescription,[서울 영등포구] 강남성심병원 주차관리원모집  | 우나어 일자리,(변경 없음),"월 330만원, 안정적인 근무 강남성심병원 주차관리원 채용 영등포 주차요원 50대 구직 병원 주차관리 시니어 일자리 중장년 주차관리원 모집 ","월 330만원, 안정적인 근무 강남성심병원 주차관리원 채용 영등포 주차요원 50대 구직 병원 주차관리 50·60대 일자리 중장년 주차관리원 모집 ",true,,true,,true,true,"기계 치환 결과가 어색해 **수동 교정**: ""중장년""이 연속 중복돼 앞을 ""50·60대 일자리""로 바꿨다",
cmr1qxmyv0000l05ndephrei3,JOB,BOT,seoDescription,실버,seoDescription,[인천 검단구] 요양보호사 | 우나어 일자리,(변경 없음),"월 245만원 이상, 자격증 있으면 바로 시작 인천 요양보호사 구인 검단 실버케어 취업 50대 요양보호사 일자리 재활요양 요양보호사 모집 ","월 245만원 이상, 자격증 있으면 바로 시작 인천 요양보호사 구인 검단 요양케어 취업 50대 요양보호사 일자리 재활요양 요양보호사 모집 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(실버) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(실버케어) 대체 — 검색 노출 영향 확인 필요,
cmqyyd6gf0000lr5n176rnldy,JOB,BOT,seoDescription,시니어,seoDescription,[인천 서구] LG마그나 사내 미화원 | 우나어 일자리,(변경 없음),"대기업 사업장 근무, 월 264만원 안정 수입 인천 서구 미화원 채용 LG마그나 청소직 일자리 50대 미화원 구인 인천 건물 청소 시니어 채용 ","대기업 사업장 근무, 월 264만원 안정 수입 인천 서구 미화원 채용 LG마그나 청소직 일자리 50대 미화원 구인 인천 건물 청소 중장년 채용 ",true,,true,,false,false,,
cmqb0evym0000ke0i44xbupgs,JOB,BOT,seoDescription,노인,seoDescription,[대구 동구] 효목동 태왕매트로시티 요양보 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 대구 동구 요양보호사 구인 효목동 노인복지 일자리 주3회 요양보호사 파트타임 50대 60대 요양보호사 채용 ","시급 1만원, 안정적인 근무 대구 동구 요양보호사 구인 효목동 돌봄복지 일자리 주3회 요양보호사 파트타임 50대 60대 요양보호사 채용 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmn5kq5q80000f3214amxabh0,JOB,BOT,seoDescription,시니어,seoDescription,[서울] 은행 미화원 채용 / 일2시 | 우나어 일자리,(변경 없음),"월 70만원, 안정적인 근무 서울 일자리 주식회사신세계씨앤이 시니어 채용 50대 취업 ","월 70만원, 안정적인 근무 서울 일자리 주식회사신세계씨앤이 중장년 채용 50대 취업 ",true,,true,,false,false,,
cmrn3act90004kp2c4esfod1w,JOB,BOT,seoDescription,노인,seoDescription,[경기 수원시] 재가요양보호사 선생님을 모십 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 수원 재가요양보호사 구인 경기 요양보호사 취업 50대 요양보호사 일자리 수원 재가노인복지 채용 ","시급 1만원, 안정적인 근무 수원 재가요양보호사 구인 경기 요양보호사 취업 50대 요양보호사 일자리 수원 재가복지 채용 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmq6ie4r40000l628jdw6f15n,JOB,BOT,seoDescription,어르신,seoTitle|seoDescription|원문title,[대구 동구] 3등급 남성어르신께 방문요양 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 대구 동구 방문요양 구인 신서동 요양보호사 일자리 50대 재가복지 취업 남성어르신 방문요양 채용 ","시급 1만원, 안정적인 근무 대구 동구 방문요양 구인 신서동 요양보호사 일자리 50대 재가복지 취업 남성 이용자 방문요양 채용 ",true,어르신,true,,false,false,,
cmovgpby00000hx3f5lm13pqw,JOB,BOT,seoDescription,노인,seoDescription,[서울 동작구] 상도동 SH아파트 4등급할머 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 동작구 노인복지센터 채용 상도동 요양보호사 구인 서울 노인복지 일자리 동작구 50대 여성 구인 ","시급 1만원, 안정적인 근무 동작구 재가복지센터 채용 상도동 요양보호사 구인 서울 돌봄복지 일자리 동작구 50대 여성 구인 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인복지센터) 대체 — 검색 노출 영향 확인 필요,
cmp6xjmyd0000jl3fciugooa8,JOB,BOT,seoDescription,노인,seoDescription,[서울 동작구] 방문사회복지사 구함 | 우나어 일자리,(변경 없음),"월 270만원, 안정적인 근무 동작구 사회복지사 구인 노인복지 방문요양 일자리 50대 사회복지사 채용 서울 노인복지센터 취업 ","월 270만원, 안정적인 근무 동작구 사회복지사 구인 돌봄복지 방문요양 일자리 50대 사회복지사 채용 서울 재가복지센터 취업 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인복지센터) 대체 — 검색 노출 영향 확인 필요,
cmqtcqzs80000k00jgh56vqt1,JOB,BOT,seoDescription,실버,seoDescription,[서울 구로구] 요양원 간호사 | 우나어 일자리,(변경 없음),전문 면허 살려 안정적 고수입 근무 요양원 간호사 구인 구로구 간호사 채용 실버마을 간호사 모집 50대 간호사 취업 ,전문 면허 살려 안정적 고수입 근무 요양원 간호사 구인 구로구 간호사 채용 요양시설 간호사 모집 50대 간호사 취업 ,true,,true,,true,true,"회사 고유명에 금지 표현 포함(실버) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(실버마을) 대체 — 검색 노출 영향 확인 필요 / 기계 치환 결과가 어색해 **수동 교정**: ""요양마을""은 실재하지 않는 조어라 ""요양시설""로 바꿨다. 회사명(사실)은 변경하지 않는다",
cmqffbhyr0000ny0iw0fach54,JOB,BOT,seoDescription,어르신|노인,seoDescription,[경기 오산시] 요양보호사 | 우나어 일자리,(변경 없음),"시급 1만원, 어르신 1:1 재가 돌봄 오산 요양보호사 구인 경기 오산 노인 케어 일자리 50대 여성 요양보호사 취업 오산 재가노인복지 요양보호사 ","시급 1만원, 1:1 재가 돌봄 오산 요양보호사 구인 경기 오산 재가 케어 일자리 50대 여성 요양보호사 취업 오산 재가복지 요양보호사 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
